Series,Agricultural land (% of land ar,"Agriculture, value added (% of",CO2 emissions (metric tons per,Exports of goods and services (,"Fertility rate, total (births p",Fixed line and mobile phone sub,"Foreign direct investment, net",GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (c","GNI, Atlas method (current US$)",Gross capital formation (% of G,"Immunization, measles (% of chi",Imports of goods and services (,"Industry, value added (% of GDP","Inflation, GDP deflator (annual","Internet users (per 1,000 peopl","Life expectancy at birth, total","Long-term debt (DOD, current US",Merchandise trade (% of GDP),Military expenditure (% of GDP),Net barter terms of trade (2000,Official development assistance,"Personal computers (per 1,000 p",Population growth (annual %),"Population, total","Services, etc., value added (%",Short-term debt outstanding (DO,Surface area (sq. km),ln GNI,pop/area
Angola,46,8,1,78,7,15,1672000000,10834800000,14,610,8889300000,13,74,66,65,109,3,41,7980900000,112,2,89,421369984,2,3,14618782,27,1208400000,1246700,6.41346,11.726
Benin,30,34,0,14,6,37,18000000,2807360000,5,330,2522850000,18,78,27,14,8,7,54,1689200000,40, ,88,216290000,2,3,7666962,53,73600000,112620,5.79909,68.078
Botswana,46,3,2,46,3,326,403000000,5423320000,5,2700,4782240000,28,90,35,51,8,34,37,472400000,79,4,97,37560000,40,0,1771008,46,16000000,581730,7.90101,3.044
Burkina Faso,39,31,0,8,7,15,15026000,3203350000,4,250,2961280000,18,64,22,18,4,2,47,1408900000,31,1,91,472729984,2,3,12022321,51,12900000,274000,5.52146,43.877
Burundi,91,41,0,6,7,11,1000,628096000,4,100,665611000,6,75,24,19,2,1,43,1104300000,25,8,76,172120000,1,3,6818131,41,96300000,27830,4.60517,244.992
Cameroon,20,40,0,20,5,53,1000,10879800000,4,640,9816130000,20,53,21,16,3,4,46,7467100000,34,1,98,657059968,6,2,15454616,44,778800000,475440,6.46147,32.506
Cape Verde,18,7,0,31,4,240,15000000,616209000,5,1210,570995000,21,85,68,16,2,34,70,385000000,47,1,95,92190000,74,2,472372,77,25200000,4030,7.09838,117.214
Central African Republic,8,57,0,12,5,6,5644000,1045930000,-1,250,968529000,15,35,17,22,4,1,39,980000000,26,1,93,59800000,2,1,3887379,21,51700000,622980,5.52146,6.24
Chad,39,40,0,13, ,5,924060032,1982260000,8,200,1741100000,61,55, ,16,2,2,44,1190900000,92,1,84,228990000,1,4,8814445,45,25700000,1284000,5.29832,6.865
Comoros,66,41,0,16,4,18,430000,246738000,2,400,224209000,12,71,26,12,4,6,61,245400000,29, ,56,32460000,7,2,563633,47,29600000,2230,5.99146,252.75
"Congo, Dem. Rep.",10,51,0,21,7,11,117000000,5547140000,4,90,4555050000,9,45,26,21,32,1,43,8845400000,40, ,94,1187750016, ,3,52705820,27,643100032,2344860,4.49981,22.477
